# Posizione angolare. Can 1 e 2. A 75g
# Tempo ( s )	# Posizione angolare ( rad )
0.0000	0.000
0.0500	0.000
0.1000	0.000
0.1500	-0.017
0.2000	-0.017
0.2500	-0.035
0.3000	-0.105
0.3500	-0.297
0.4000	-0.663
0.4500	-1.187
0.5000	-1.902
0.5500	-2.775
0.6000	-3.822
0.6500	-5.027
0.7000	-6.423
0.7500	-7.994
0.8000	-9.704
0.8500	-11.606
0.9000	-13.683
0.9500	-15.900
1.0000	-18.326
1.0500	-20.892
1.1000	-23.649
1.1500	-26.564
1.2000	-29.653
1.2500	-32.917
1.3000	-36.355
1.3500	-39.968
1.4000	-43.755
1.4500	-47.682
1.5000	-51.819
1.5500	-56.095
1.6000	-60.563
1.6500	-65.188
1.7000	-69.988
