# Posizione angolare. Can 1 e 2. S 100g
# Tempo ( s )	# Posizione angolare ( rad )
0.0000	0.000
0.0500	0.000
0.1000	0.000
0.1500	0.017
0.2000	0.017
0.2500	0.035
0.3000	0.070
0.3500	0.105
0.4000	0.140
0.4500	0.192
0.5000	0.244
0.5500	0.297
0.6000	0.367
0.6500	0.436
0.7000	0.524
0.7500	0.611
0.8000	0.698
0.8500	0.803
0.9000	0.925
0.9500	1.030
1.0000	1.152
1.0500	1.292
1.1000	1.414
1.1500	1.571
1.2000	1.710
1.2500	1.868
1.3000	2.025
1.3500	2.199
1.4000	2.374
1.4500	2.566
1.5000	2.758
1.5500	2.950
1.6000	3.159
1.6500	3.368
1.7000	3.595
1.7500	3.805
1.8000	4.049
1.8500	4.294
1.9000	4.538
1.9500	4.782
2.0000	5.044
2.0500	5.306
2.1000	5.585
2.1500	5.864
2.2000	6.144
2.2500	6.440
2.3000	6.737
2.3500	7.051
2.4000	7.365
2.4500	7.679
2.5000	8.011
2.5500	8.343
2.6000	8.692
2.6500	9.041
2.7000	9.390
2.7500	9.756
2.8000	10.123
2.8500	10.489
2.9000	10.873
2.9500	11.275
3.0000	11.659
3.0500	12.060
3.1000	12.479
3.1500	12.898
3.2000	13.317
3.2500	13.736
3.3000	14.172
3.3500	14.626
3.4000	15.062
3.4500	15.516
3.5000	15.987
3.5500	16.458
3.6000	16.930
3.6500	17.418
3.7000	17.907
3.7500	18.396
3.8000	18.902
3.8500	19.408
3.9000	19.914
3.9500	20.438
4.0000	20.979
4.0500	21.502
4.1000	22.044
4.1500	22.585
4.2000	23.143
4.2500	23.702
4.3000	24.278
4.3500	24.853
4.4000	25.429
4.4500	26.005
4.5000	26.599
4.5500	27.210
4.6000	27.803
4.6500	28.414
4.7000	29.042
4.7500	29.671
4.8000	30.299
4.8500	30.927
4.9000	31.573
4.9500	32.219
5.0000	32.882
5.0500	33.545
5.1000	34.208
5.1500	34.889
5.2000	35.570
5.2500	36.268
5.3000	36.966
5.3500	37.664
5.4000	38.362
5.4500	39.078
5.5000	39.811
5.5500	40.527
5.6000	41.260
5.6500	42.010
5.7000	42.743
5.7500	43.511
5.8000	44.262
5.8500	45.029
5.9000	45.797
5.9500	46.565
6.0000	47.351
6.0500	48.136
6.1000	48.939
6.1500	49.742
6.2000	50.545
6.2500	51.365
6.3000	52.168
6.3500	53.006
6.4000	53.826
6.4500	54.664
6.5000	55.519
6.5500	56.357
6.6000	57.212
6.6500	58.085
6.7000	58.940
6.7500	59.812
6.8000	60.703
6.8500	61.575
6.9000	62.483
6.9500	63.373
7.0000	64.280
7.0500	65.188
7.1000	66.096
7.1500	67.021
7.2000	67.946
7.2500	68.871
7.3000	69.813
7.3500	70.756
7.4000	71.698
7.4500	72.658
7.5000	73.618
7.5500	74.595
7.6000	75.555
