# Posizione angolare. Can 1 e 2. D+A 75g
# Tempo ( s )	# Posizione angolare ( rad )
0.0000	0.000
0.0500	0.000
0.1000	0.000
0.1500	0.000
0.2000	-0.017
0.2500	-0.035
0.3000	-0.087
0.3500	-0.192
0.4000	-0.349
0.4500	-0.524
0.5000	-0.750
0.5500	-1.012
0.6000	-1.326
0.6500	-1.676
0.7000	-2.059
0.7500	-2.478
0.8000	-2.950
0.8500	-3.456
0.9000	-4.014
0.9500	-4.590
1.0000	-5.219
1.0500	-5.899
1.1000	-6.597
1.1500	-7.348
1.2000	-8.151
1.2500	-8.971
1.3000	-9.861
1.3500	-10.769
1.4000	-11.729
1.4500	-12.723
1.5000	-13.771
1.5500	-14.835
1.6000	-15.970
1.6500	-17.139
1.7000	-18.343
1.7500	-19.583
1.8000	-20.874
1.8500	-22.201
1.9000	-23.562
1.9500	-24.976
2.0000	-26.424
2.0500	-27.908
2.1000	-29.444
2.1500	-30.997
2.2000	-32.603
2.2500	-34.243
2.3000	-35.936
2.3500	-37.664
2.4000	-39.427
2.4500	-41.225
2.5000	-43.057
2.5500	-44.925
2.6000	-46.845
2.6500	-48.799
2.7000	-50.807
2.7500	-52.831
2.8000	-54.908
2.8500	-57.020
2.9000	-59.184
2.9500	-61.366
3.0000	-63.600
3.0500	-65.869
3.1000	-68.190
3.1500	-70.529
3.2000	-72.920
3.2500	-75.346
3.3000	-77.824
3.3500	-80.320
3.4000	-82.868
3.4500	-85.451
3.5000	-88.052
3.5500	-90.652
3.6000	-93.253
