# Posizione angolare. Can 1 e 2. A 100g
# Tempo ( s )	# Posizione angolare ( rad )
0.3000	0.000
0.3500	-0.140
0.4000	-0.489
0.4500	-1.047
0.5000	-1.833
0.5500	-2.845
0.6000	-4.084
0.6500	-5.533
0.7000	-7.191
0.7500	-9.076
0.8000	-11.188
0.8500	-13.509
0.9000	-16.057
0.9500	-18.850
1.0000	-21.852
1.0500	-25.080
1.1000	-28.519
1.1500	-32.201
1.2000	-36.093
1.2500	-40.212
1.3000	-44.558
1.3500	-49.096
1.4000	-53.878
1.4500	-58.870
