# Posizione angolare. Oscillazioni forzate 2.50 V
# Tempo ( s )	Posizione angolare ( rad )
0.0532	-0.922
0.0932	-0.800
0.1332	-0.682
0.1732	-0.567
0.2132	-0.460
0.2532	-0.360
0.2932	-0.267
0.3332	-0.181
0.3732	-0.102
0.4132	-0.031
0.4532	0.031
0.4932	0.090
0.5332	0.140
0.5732	0.187
0.6132	0.226
0.6532	0.261
0.6932	0.289
0.7332	0.311
0.7732	0.327
0.8132	0.333
0.8532	0.333
0.8932	0.325
0.9332	0.309
0.9732	0.284
1.0132	0.250
1.0532	0.206
1.0932	0.149
1.1332	0.080
1.1732	0.000
1.2132	-0.093
1.2532	-0.196
1.2932	-0.313
1.3332	-0.440
1.3732	-0.575
1.4132	-0.719
1.4532	-0.870
1.4932	-1.024
1.5332	-1.183
1.5732	-1.338
1.6132	-1.492
1.6532	-1.641
1.6932	-1.781
1.7332	-1.912
1.7732	-2.028
1.8132	-2.130
1.8532	-2.215
1.8932	-2.282
1.9332	-2.329
1.9732	-2.356
2.0132	-2.361
2.0532	-2.348
2.0932	-2.315
2.1332	-2.267
2.1732	-2.201
2.2132	-2.121
2.2532	-2.026
2.2932	-1.921
2.3332	-1.805
2.3732	-1.681
2.4132	-1.550
2.4532	-1.417
2.4932	-1.280
2.5332	-1.144
2.5732	-1.010
2.6132	-0.880
2.6532	-0.756
2.6932	-0.639
2.7332	-0.528
2.7732	-0.426
2.8132	-0.331
2.8532	-0.247
2.8932	-0.168
2.9332	-0.099
2.9732	-0.039
3.0132	0.014
3.0532	0.060
3.0932	0.097
3.1332	0.132
3.1732	0.159
3.2132	0.182
3.2532	0.198
3.2932	0.209
3.3332	0.212
3.3732	0.210
3.4132	0.206
3.4532	0.198
3.4932	0.185
3.5332	0.167
3.5732	0.143
3.6132	0.108
3.6532	0.068
3.6932	0.014
3.7332	-0.049
3.7732	-0.124
3.8132	-0.212
3.8532	-0.311
3.8932	-0.423
3.9332	-0.543
3.9732	-0.674
4.0132	-0.812
4.0532	-0.957
4.0932	-1.106
4.1332	-1.257
4.1732	-1.409
4.2132	-1.557
4.2532	-1.698
4.2932	-1.833
4.3332	-1.956
4.3732	-2.066
4.4132	-2.161
4.4532	-2.238
4.4932	-2.300
4.5332	-2.340
4.5732	-2.359
4.6132	-2.359
4.6532	-2.340
4.6932	-2.303
4.7332	-2.248
4.7732	-2.177
4.8132	-2.091
4.8532	-1.992
4.8932	-1.880
4.9332	-1.759
4.9732	-1.630
5.0132	-1.494
5.0532	-1.356
5.0932	-1.214
5.1332	-1.073
5.1732	-0.935
5.2132	-0.798
5.2532	-0.668
5.2932	-0.542
5.3332	-0.424
5.3732	-0.313
5.4132	-0.212
5.4532	-0.118
5.4932	-0.035
5.5332	0.039
5.5732	0.105
5.6132	0.162
5.6532	0.210
5.6932	0.251
5.7332	0.284
5.7732	0.309
5.8132	0.328
5.8532	0.339
5.8932	0.342
5.9332	0.338
5.9732	0.328
6.0132	0.313
6.0532	0.291
6.0932	0.261
6.1332	0.223
6.1732	0.176
6.2132	0.121
6.2532	0.055
6.2932	-0.020
6.3332	-0.107
6.3732	-0.203
6.4132	-0.309
6.4532	-0.424
6.4932	-0.548
6.5332	-0.679
6.5732	-0.817
6.6132	-0.958
6.6532	-1.103
6.6932	-1.247
6.7332	-1.392
6.7732	-1.532
6.8132	-1.665
6.8532	-1.792
6.8932	-1.909
6.9332	-2.011
6.9732	-2.102
7.0132	-2.176
7.0532	-2.232
7.0932	-2.271
7.1332	-2.292
7.1732	-2.295
7.2132	-2.279
7.2532	-2.248
7.2932	-2.201
7.3332	-2.139
7.3732	-2.064
7.4132	-1.976
7.4532	-1.879
7.4932	-1.770
7.5332	-1.654
7.5732	-1.532
7.6132	-1.404
7.6532	-1.274
7.6932	-1.144
7.7332	-1.013
7.7732	-0.884
7.8132	-0.760
7.8532	-0.641
7.8932	-0.528
7.9332	-0.419
