Posizione angolare, Oscillazioni forzate 3.70 V
Tempo ( s )	Posizione angolare ( rad )
0,0556	2,769
0,0956	3,702
0,1356	4,678
0,1756	5,674
0,2156	6,660
0,2556	7,614
0,2956	8,512
0,3356	9,335
0,3756	10,063
0,4156	10,677
0,4556	11,159
0,4956	11,498
0,5356	11,684
0,5756	11,710
0,6156	11,575
0,6556	11,283
0,6956	10,842
0,7356	10,259
0,7756	9,555
0,8156	8,759
0,8556	7,887
0,8956	6,952
0,9356	5,972
0,9756	4,970
1,0156	3,974
1,0556	3,013
1,0956	2,113
1,1356	1,293
1,1756	0,572
1,2156	-0,030
1,2556	-0,496
1,2956	-0,817
1,3356	-0,979
1,3756	-0,980
1,4156	-0,822
1,4556	-0,507
1,4956	-0,047
1,5356	0,550
1,5756	1,264
1,6156	2,083
1,6556	2,983
1,6956	3,944
1,7356	4,943
1,7756	5,955
1,8156	6,951
1,8556	7,903
1,8956	8,795
1,9356	9,605
1,9756	10,312
2,0156	10,898
2,0556	11,347
2,0956	11,647
2,1356	11,789
2,1756	11,768
2,2156	11,585
2,2556	11,244
2,2956	10,752
2,3356	10,122
2,3756	9,378
2,4156	8,547
2,4556	7,643
2,4956	6,681
2,5356	5,678
2,5756	4,662
2,6156	3,660
2,6556	2,703
2,6956	1,814
2,7356	1,013
2,7756	0,319
2,8156	-0,250
2,8556	-0,677
2,8956	-0,952
2,9356	-1,067
2,9756	-1,018
3,0156	-0,806
3,0556	-0,440
3,0956	0,071
3,1356	0,715
3,1756	1,473
3,2156	2,329
3,2556	3,261
3,2956	4,251
3,3356	5,268
3,3756	6,289
3,4156	7,287
3,4556	8,236
3,4956	9,115
3,5356	9,905
3,5756	10,586
3,6156	11,137
3,6556	11,545
3,6956	11,797
3,7356	11,886
3,7756	11,809
3,8156	11,569
3,8556	11,170
3,8956	10,622
3,9356	9,938
3,9756	9,137
4,0156	8,239
4,0556	7,263
4,0956	6,234
4,1356	5,177
4,1756	4,120
4,2156	3,093
4,2556	2,124
4,2956	1,238
4,3356	0,457
4,3756	-0,199
4,4156	-0,716
4,4556	-1,079
4,4956	-1,277
4,5356	-1,304
4,5756	-1,161
4,6156	-0,851
4,6556	-0,385
4,6956	0,225
4,7356	0,963
4,7756	1,811
4,8156	2,749
4,8556	3,756
4,8956	4,803
4,9356	5,868
4,9756	6,916
5,0156	7,926
5,0556	8,872
5,0956	9,734
5,1356	10,490
5,1756	11,118
5,2156	11,602
5,2556	11,930
5,2956	12,090
5,3356	12,079
5,3756	11,897
5,4156	11,548
5,4556	11,041
5,4956	10,388
5,5356	9,609
5,5756	8,735
5,6156	7,788
5,6556	6,780
5,6956	5,729
5,7356	4,664
5,7756	3,614
5,8156	2,612
5,8556	1,682
5,8956	0,844
5,9356	0,119
5,9756	-0,474
6,0156	-0,922
6,0556	-1,208
6,0956	-1,326
6,1356	-1,272
6,1756	-1,051
6,2156	-0,666
6,2556	-0,129
6,2956	0,543
6,3356	1,337
6,3756	2,229
6,4156	3,200
6,4556	4,227
6,4956	5,284
6,5356	6,343
6,5756	7,373
6,6156	8,353
6,6556	9,261
6,6956	10,075
6,7356	10,773
6,7756	11,335
6,8156	11,748
6,8556	12,001
6,8956	12,084
6,9356	11,996
6,9756	11,740
7,0156	11,322
7,0556	10,752
7,0956	10,044
7,1356	9,224
7,1756	8,325
7,2156	7,361
7,2556	6,341
7,2956	5,294
7,3356	4,244
7,3756	3,222
7,4156	2,257
7,4556	1,370
7,4956	0,583
7,5356	-0,083
7,5756	-0,614
7,6156	-0,993
7,6556	-1,211
7,6956	-1,260
7,7356	-1,140
7,7756	-0,856
7,8156	-0,416
7,8556	0,168
7,8956	0,878
7,9356	1,700
7,9756	2,611
8,0156	3,591
8,0556	4,617
8,0956	5,661
8,1356	6,695
8,1756	7,691
8,2156	8,630
8,2556	9,488
8,2956	10,246
8,3356	10,884
8,3756	11,385
8,4156	11,735
8,4556	11,925
8,4956	11,949
8,5356	11,808
8,5756	11,503
8,6156	11,044
8,6556	10,441
8,6956	9,711
8,7356	8,881
8,7756	7,983
8,8156	7,023
8,8556	6,019
8,8956	4,992
8,9356	3,974
8,9756	2,992
9,0156	2,077
9,0556	1,247
9,0956	0,518
9,1356	-0,090
9,1756	-0,559
9,2156	-0,881
9,2556	-1,045
9,2956	-1,046
9,3356	-0,884
9,3756	-0,567
9,4156	-0,104
9,4556	0,496
9,4956	1,214
9,5356	2,034
9,5756	2,934
9,6156	3,897
9,6556	4,896
9,6956	5,906
9,7356	6,899
9,7756	7,849
9,8156	8,738
9,8556	9,546
9,8956	10,251
9,9356	10,835
9,9756	11,285
10,0156	11,588
10,0556	11,734
10,0956	11,721
10,1356	11,550
10,1756	11,225
10,2156	10,752
10,2556	10,143
10,2956	9,415
10,3356	8,586
10,3756	7,676
10,4156	6,707
10,4556	5,699
10,4956	4,679
10,5356	3,677
10,5756	2,719
10,6156	1,835
10,6556	1,040
10,6956	0,352
10,7356	-0,210
10,7756	-0,633
10,8156	-0,905
10,8556	-1,019
10,8956	-0,972
10,9356	-0,765
10,9756	-0,408
11,0156	0,091
11,0556	0,719
11,0956	1,459
11,1356	2,292
11,1756	3,200
11,2156	4,159
11,2556	5,148
11,2956	6,139
11,3356	7,105
11,3756	8,024
11,4156	8,875
11,4556	9,640
11,4956	10,301
11,5356	10,840
11,5756	11,244
11,6156	11,503
11,6556	11,608
11,6956	11,559
11,7356	11,357
11,7756	11,005
11,8156	10,515
11,8556	9,894
11,8956	9,164
11,9356	8,339
11,9756	7,439
12,0156	6,486
12,0556	5,501
12,0956	4,510
12,1356	3,541
12,1756	2,620
12,2156	1,772
12,2556	1,015
12,2956	0,366
12,3356	-0,157
12,3756	-0,543
12,4156	-0,781
12,4556	-0,864
12,4956	-0,792
12,5356	-0,565
12,5756	-0,195
12,6156	0,313
12,6556	0,941
12,6956	1,676
12,7356	2,499
12,7756	3,393
12,8156	4,332
12,8556	5,297
12,8956	6,260
12,9356	7,196
12,9756	8,083
13,0156	8,902
13,0556	9,634
13,0956	10,262
13,1356	10,771
13,1756	11,146
13,2156	11,379
13,2556	11,462
13,2956	11,395
13,3356	11,179
13,3756	10,820
13,4156	10,328
13,4556	9,719
13,4956	9,021
13,5356	8,258
13,5756	7,439
13,6156	6,568
13,6556	5,663
13,6956	4,745
13,7356	3,842
13,7756	2,980
13,8156	2,180
13,8556	1,462
13,8956	0,840
13,9356	0,328
13,9756	-0,060
14,0156	-0,313
14,0556	-0,424
14,0956	-0,393
14,1356	-0,218
14,1756	0,091
14,2156	0,531
14,2556	1,085
14,2956	1,745
14,3356	2,491
14,3756	3,308
14,4156	4,177
14,4556	5,074
14,4956	5,978
14,5356	6,866
14,5756	7,714
14,6156	8,504
14,6556	9,221
14,6956	9,844
14,7356	10,361
14,7756	10,757
14,8156	11,022
14,8556	11,146
14,8956	11,129
14,9356	10,969
14,9756	10,669
15,0156	10,240
15,0556	9,692
15,0956	9,049
15,1356	8,335
15,1756	7,560
15,2156	6,731
15,2556	5,862
15,2956	4,975
15,3356	4,093
15,3756	3,242
15,4156	2,447
15,4556	1,728
15,4956	1,096
15,5356	0,570
15,5756	0,162
15,6156	-0,118
15,6556	-0,261
15,6956	-0,264
15,7356	-0,129
15,7756	0,141
15,8156	0,540
15,8556	1,056
15,8956	1,676
15,9356	2,386
15,9756	3,170
16,0156	4,010
16,0556	4,885
16,0956	5,773
16,1356	6,651
16,1756	7,497
16,2156	8,292
16,2556	9,018
16,2956	9,656
16,3356	10,193
16,3756	10,614
16,4156	10,908
16,4556	11,063
16,4956	11,079
16,5356	10,952
16,5756	10,686
16,6156	10,287
16,6556	9,767
16,6956	9,148
16,7356	8,454
16,7756	7,697
16,8156	6,882
16,8556	6,021
16,8956	5,137
16,9356	4,254
16,9756	3,394
17,0156	2,586
17,0556	1,847
17,0956	1,194
17,1356	0,642
17,1756	0,206
17,2156	-0,104
17,2556	-0,276
17,2956	-0,309
17,3356	-0,201
17,3756	0,046
17,4156	0,426
17,4556	0,927
17,4956	1,538
17,5356	2,245
17,5756	3,030
17,6156	3,878
17,6556	4,767
17,6956	5,675
17,7356	6,577
17,7756	7,450
17,8156	8,275
17,8556	9,032
17,8956	9,704
17,9356	10,271
17,9756	10,722
18,0156	11,041
18,0556	11,219
18,0956	11,248
18,1356	11,131
18,1756	10,868
18,2156	10,465
18,2556	9,931
18,2956	9,282
18,3356	8,544
18,3756	7,739
18,4156	6,874
18,4556	5,963
18,4956	5,027
18,5356	4,093
18,5756	3,190
18,6156	2,344
18,6556	1,572
18,6956	0,892
18,7356	0,322
18,7756	-0,123
18,8156	-0,430
18,8556	-0,592
18,8956	-0,605
18,9356	-0,467
18,9756	-0,182
19,0156	0,243
19,0556	0,796
19,0956	1,466
19,1356	2,234
19,1756	3,083
19,2156	3,995
19,2556	4,948
19,2956	5,914
19,3356	6,871
19,3756	7,791
19,4156	8,657
19,4556	9,445
19,4956	10,136
19,5356	10,713
19,5756	11,159
19,6156	11,459
19,6556	11,605
19,6956	11,592
19,7356	11,420
19,7756	11,090
19,8156	10,611
19,8556	9,993
19,8956	9,255
19,9356	8,423
19,9756	7,515
20,0156	6,547
20,0556	5,540
20,0956	4,519
20,1356	3,515
20,1756	2,560
20,2156	1,678
20,2556	0,884
20,2956	0,203
20,3356	-0,352
20,3756	-0,763
20,4156	-1,018
20,4556	-1,109
20,4956	-1,034
20,5356	-0,793
20,5756	-0,394
20,6156	0,151
20,6556	0,828
20,6956	1,623
20,7356	2,515
20,7756	3,484
20,8156	4,507
20,8556	5,556
20,8956	6,604
20,9356	7,622
20,9756	8,588
21,0156	9,477
21,0556	10,268
21,0956	10,941
21,1356	11,473
21,1756	11,852
21,2156	12,065
21,2556	12,105
21,2956	11,969
21,3356	11,663
21,3756	11,192
21,4156	10,567
21,4556	9,803
21,4956	8,924
21,5356	7,950
21,5756	6,907
21,6156	5,817
21,6556	4,706
21,6956	3,608
21,7356	2,557
21,7756	1,580
21,8156	0,697
21,8556	-0,068
21,8956	-0,697
21,9356	-1,173
21,9756	-1,480
22,0156	-1,608
22,0556	-1,557
22,0956	-1,326
22,1356	-0,920
22,1756	-0,355
22,2156	0,357
22,2556	1,194
22,2956	2,138
22,3356	3,167
22,3756	4,257
22,4156	5,378
22,4556	6,500
22,4956	7,593
22,5356	8,632
22,5756	9,590
22,6156	10,447
22,6556	11,179
22,6956	11,764
22,7356	12,186
22,7756	12,433
22,8156	12,497
22,8556	12,378
22,8956	12,078
22,9356	11,603
22,9756	10,966
23,0156	10,182
23,0556	9,279
23,0956	8,294
23,1356	7,243
23,1756	6,140
23,2156	5,011
23,2556	3,886
23,2956	2,799
23,3356	1,780
23,3756	0,851
23,4156	0,035
23,4556	-0,647
23,4956	-1,177
23,5356	-1,538
23,5756	-1,718
23,6156	-1,717
23,6556	-1,533
23,6956	-1,170
23,7356	-0,641
23,7756	0,041
23,8156	0,856
23,8556	1,784
23,8956	2,805
23,9356	3,892
23,9756	5,020
24,0156	6,158
24,0556	7,273
24,0956	8,338
24,1356	9,331
24,1756	10,227
24,2156	11,003
24,2556	11,638
24,2956	12,112
24,3356	12,414
24,3756	12,537
24,4156	12,474
24,4556	12,229
24,4956	11,806
24,5356	11,217
24,5756	10,477
24,6156	9,604
24,6556	8,621
24,6956	7,556
24,7356	6,432
24,7756	5,276
24,8156	4,119
24,8556	2,994
24,8956	1,935
24,9356	0,966
24,9756	0,108
25,0156	-0,617
25,0556	-1,191
25,0956	-1,596
25,1356	-1,819
25,1756	-1,857
25,2156	-1,707
25,2556	-1,376
25,2956	-0,872
25,3356	-0,210
25,3756	0,591
25,4156	1,511
25,4556	2,527
25,4956	3,616
25,5356	4,753
25,5756	5,905
25,6156	7,039
25,6556	8,129
25,6956	9,148
25,7356	10,077
25,7756	10,887
25,8156	11,559
25,8556	12,075
25,8956	12,417
25,9356	12,581
25,9756	12,560
26,0156	12,357
26,0556	11,976
26,0956	11,424
26,1356	10,718
26,1756	9,871
26,2156	8,911
26,2556	7,862
26,2956	6,750
26,3356	5,595
26,3756	4,433
26,4156	3,296
26,4556	2,218
26,4956	1,225
26,5356	0,338
26,5756	-0,423
26,6156	-1,037
26,6556	-1,488
26,6956	-1,759
26,7356	-1,847
26,7756	-1,750
26,8156	-1,470
26,8556	-1,016
26,8956	-0,401
26,9356	0,358
26,9756	1,243
27,0156	2,227
27,0556	3,289
27,0956	4,408
27,1356	5,548
27,1756	6,682
27,2156	7,779
27,2556	8,814
27,2956	9,763
27,3356	10,603
27,3756	11,311
27,4156	11,871
27,4556	12,263
27,4956	12,480
27,5356	12,515
27,5756	12,367
27,6156	12,040
27,6556	11,544
27,6956	10,887
27,7356	10,091
27,7756	9,173
27,8156	8,160
27,8556	7,076
27,8956	5,947
27,9356	4,799
27,9756	3,663
28,0156	2,578
28,0556	1,569
28,0956	0,657
28,1356	-0,137
