# Posizione. Oscillazioni forzate 3.20 V
# Tempo ( s )	Posizione ( m )
0.000000	0.0000
1.932194	0.0500
3.861104	0.1000
5.770628	0.1500
7.666222	0.2000
9.554932	0.2500
11.436774	0.3000
13.309940	0.3500
15.184586	0.4000
17.054864	0.4500
18.915406	0.5000
20.785016	0.5500
22.662610	0.6000
24.540446	0.6500
26.403488	0.7000
28.254114	0.7500
30.100778	0.8000
31.954914	0.8500
33.833376	0.9000
35.718492	0.9500
37.636106	1.0000
39.534672	1.0500
41.437536	1.1000
43.335186	1.1500
45.232904	1.2000
47.128744	1.2500
49.033710	1.3000
50.941782	1.3500
52.855412	1.4000
54.776954	1.4500
56.697332	1.5000
58.619152	1.5500
60.533186	1.6000
62.463708	1.6500
64.395652	1.7000
66.317552	1.7500
68.239152	1.8000
70.156270	1.8500
72.070970	1.9000
73.996558	1.9500
75.925428	2.0000
77.841678	2.0500
79.728962	2.1000
81.623288	2.1500
83.524508	2.2000
85.452710	2.2500
87.364360	2.3000
89.256028	2.3500
91.138898	2.4000
93.045312	2.4500
94.941074	2.5000
96.852458	2.5500
98.769594	2.6000
100.689102	2.6500
102.600388	2.7000
104.508690	2.7500
106.413156	2.8000
108.321504	2.8500
110.220998	2.9000
112.122666	2.9500
114.031864	3.0000
115.957176	3.0500
117.883656	3.1000
119.781584	3.1500
121.701812	3.2000
123.619576	3.2500
125.547712	3.3000
127.454844	3.3500
129.372856	3.4000
131.289974	3.4500
133.219208	3.5000
135.143902	3.5500
