Posizione angolare, Oscillazioni forzate 3.20 V
Tempo ( s )	Posizione angolare ( rad )
0,0210	-2,340
0,0610	-2,102
0,1010	-1,863
0,1410	-1,629
0,1810	-1,401
0,2210	-1,184
0,2610	-0,979
0,3010	-0,790
0,3410	-0,619
0,3810	-0,470
0,4210	-0,341
0,4610	-0,236
0,5010	-0,156
0,5410	-0,102
0,5810	-0,077
0,6210	-0,080
0,6610	-0,110
0,7010	-0,168
0,7410	-0,253
0,7810	-0,364
0,8210	-0,501
0,8610	-0,663
0,9010	-0,848
0,9410	-1,056
0,9810	-1,280
1,0210	-1,519
1,0610	-1,770
1,1010	-2,028
1,1410	-2,287
1,1810	-2,545
1,2210	-2,794
1,2610	-3,033
1,3010	-3,253
1,3410	-3,454
1,3810	-3,629
1,4210	-3,773
1,4610	-3,886
1,5010	-3,955
1,5410	-3,974
1,5810	-3,949
1,6210	-3,889
1,6610	-3,797
1,7010	-3,676
1,7410	-3,526
1,7810	-3,354
1,8210	-3,159
1,8610	-2,947
1,9010	-2,719
1,9410	-2,482
1,9810	-2,235
2,0210	-1,987
2,0610	-1,740
2,1010	-1,497
2,1410	-1,263
2,1810	-1,041
2,2210	-0,834
2,2610	-0,646
2,3010	-0,476
2,3410	-0,330
2,3810	-0,209
2,4210	-0,113
2,4610	-0,046
2,5010	-0,008
2,5410	0,000
2,5810	-0,022
2,6210	-0,074
2,6610	-0,156
2,7010	-0,265
2,7410	-0,404
2,7810	-0,569
2,8210	-0,759
2,8610	-0,971
2,9010	-1,202
2,9410	-1,450
2,9810	-1,709
3,0210	-1,978
3,0610	-2,248
3,1010	-2,515
3,1410	-2,776
3,1810	-3,024
3,2210	-3,253
3,2610	-3,462
3,3010	-3,646
3,3410	-3,798
3,3810	-3,908
3,4210	-3,971
3,4610	-3,984
3,5010	-3,955
3,5410	-3,894
3,5810	-3,801
3,6210	-3,680
3,6610	-3,530
3,7010	-3,357
3,7410	-3,162
3,7810	-2,948
3,8210	-2,722
3,8610	-2,485
3,9010	-2,242
3,9410	-1,995
3,9810	-1,751
4,0210	-1,513
4,0610	-1,282
4,1010	-1,063
4,1410	-0,859
4,1810	-0,674
4,2210	-0,507
4,2610	-0,363
4,3010	-0,243
4,3410	-0,148
4,3810	-0,080
4,4210	-0,041
4,4610	-0,031
4,5010	-0,050
4,5410	-0,099
4,5810	-0,176
4,6210	-0,280
4,6610	-0,412
4,7010	-0,569
4,7410	-0,751
4,7810	-0,955
4,8210	-1,180
4,8610	-1,422
4,9010	-1,674
4,9410	-1,938
4,9810	-2,205
5,0210	-2,472
5,0610	-2,733
5,1010	-2,983
5,1410	-3,215
5,1810	-3,429
5,2210	-3,616
5,2610	-3,776
5,3010	-3,902
5,3410	-3,984
5,3810	-4,015
5,4210	-3,996
5,4610	-3,944
5,5010	-3,864
5,5410	-3,756
5,5810	-3,621
5,6210	-3,457
5,6610	-3,270
5,7010	-3,063
