Posizione angolare, Oscillazioni forzate 2.70 V
Tempo ( s )	Posizione angolare ( rad )
0,0526	-1,709
0,0926	-1,571
0,1326	-1,429
0,1726	-1,283
0,2126	-1,137
0,2526	-0,991
0,2926	-0,847
0,3326	-0,705
0,3726	-0,569
0,4126	-0,438
0,4526	-0,316
0,4926	-0,201
0,5326	-0,099
0,5726	-0,008
0,6126	0,069
0,6526	0,130
0,6926	0,176
0,7326	0,201
0,7726	0,207
0,8126	0,195
0,8526	0,163
0,8926	0,112
0,9326	0,042
0,9726	-0,047
1,0126	-0,156
1,0526	-0,281
1,0926	-0,423
1,1326	-0,580
1,1726	-0,751
1,2126	-0,931
1,2526	-1,122
1,2926	-1,316
1,3326	-1,513
1,3726	-1,709
1,4126	-1,899
1,4526	-2,081
1,4926	-2,253
1,5326	-2,411
1,5726	-2,551
1,6126	-2,673
1,6526	-2,774
1,6926	-2,853
1,7326	-2,908
1,7726	-2,937
1,8126	-2,944
1,8526	-2,926
1,8926	-2,895
1,9326	-2,849
1,9726	-2,793
2,0126	-2,724
2,0526	-2,642
2,0926	-2,549
2,1326	-2,446
2,1726	-2,331
2,2126	-2,207
2,2526	-2,073
2,2926	-1,934
2,3326	-1,789
2,3726	-1,643
2,4126	-1,494
2,4526	-1,346
2,4926	-1,202
2,5326	-1,060
2,5726	-0,924
2,6126	-0,793
2,6526	-0,671
2,6926	-0,556
2,7326	-0,449
2,7726	-0,353
2,8126	-0,265
2,8526	-0,190
2,8926	-0,124
2,9326	-0,069
2,9726	-0,027
3,0126	0,003
3,0526	0,019
3,0926	0,022
3,1326	0,011
3,1726	-0,013
3,2126	-0,049
3,2526	-0,099
3,2926	-0,163
3,3326	-0,242
3,3726	-0,333
3,4126	-0,440
3,4526	-0,558
3,4926	-0,688
3,5326	-0,831
3,5726	-0,982
3,6126	-1,140
3,6526	-1,307
3,6926	-1,475
3,7326	-1,645
3,7726	-1,813
3,8126	-1,976
3,8526	-2,132
3,8926	-2,278
3,9326	-2,411
3,9726	-2,531
4,0126	-2,634
4,0526	-2,721
4,0926	-2,787
4,1326	-2,832
4,1726	-2,856
4,2126	-2,859
4,2526	-2,842
4,2926	-2,809
4,3326	-2,765
4,3726	-2,713
4,4126	-2,650
4,4526	-2,573
4,4926	-2,483
4,5326	-2,381
4,5726	-2,267
4,6126	-2,143
4,6526	-2,009
4,6926	-1,868
4,7326	-1,720
4,7726	-1,569
4,8126	-1,415
4,8526	-1,261
4,8926	-1,109
4,9326	-0,960
4,9726	-0,815
5,0126	-0,675
5,0526	-0,543
5,0926	-0,421
5,1326	-0,306
5,1726	-0,203
5,2126	-0,112
5,2526	-0,033
5,2926	0,033
5,3326	0,085
5,3726	0,119
5,4126	0,138
5,4526	0,138
5,4926	0,123
5,5326	0,091
5,5726	0,044
5,6126	-0,020
5,6526	-0,102
5,6926	-0,198
5,7326	-0,311
5,7726	-0,438
5,8126	-0,580
5,8526	-0,732
5,8926	-0,895
5,9326	-1,067
5,9726	-1,244
6,0126	-1,426
6,0526	-1,607
6,0926	-1,788
6,1326	-1,962
6,1726	-2,127
6,2126	-2,282
6,2526	-2,424
6,2926	-2,549
6,3326	-2,658
6,3726	-2,746
6,4126	-2,813
6,4526	-2,859
6,4926	-2,882
6,5326	-2,882
6,5726	-2,862
6,6126	-2,824
6,6526	-2,771
6,6926	-2,702
6,7326	-2,617
6,7726	-2,518
6,8126	-2,408
6,8526	-2,287
6,8926	-2,158
6,9326	-2,022
6,9726	-1,882
7,0126	-1,740
7,0526	-1,596
7,0926	-1,453
7,1326	-1,313
7,1726	-1,178
7,2126	-1,048
7,2526	-0,924
7,2926	-0,806
7,3326	-0,696
7,3726	-0,595
7,4126	-0,501
7,4526	-0,415
7,4926	-0,338
7,5326	-0,270
7,5726	-0,212
7,6126	-0,162
7,6526	-0,123
7,6926	-0,093
7,7326	-0,074
7,7726	-0,068
7,8126	-0,071
7,8526	-0,086
7,8926	-0,112
7,9326	-0,149
7,9726	-0,198
8,0126	-0,259
8,0526	-0,333
8,0926	-0,421
8,1326	-0,522
8,1726	-0,635
8,2126	-0,759
8,2526	-0,895
8,2926	-1,040
8,3326	-1,194
8,3726	-1,352
8,4126	-1,516
8,4526	-1,681
8,4926	-1,844
8,5326	-2,003
8,5726	-2,155
8,6126	-2,298
8,6526	-2,430
8,6926	-2,549
8,7326	-2,652
8,7726	-2,735
8,8126	-2,801
8,8526	-2,845
8,8926	-2,870
8,9326	-2,871
8,9726	-2,853
9,0126	-2,815
9,0526	-2,758
9,0926	-2,684
9,1326	-2,597
9,1726	-2,494
9,2126	-2,380
9,2526	-2,253
9,2926	-2,117
9,3326	-1,974
9,3726	-1,824
9,4126	-1,671
9,4526	-1,514
9,4926	-1,359
9,5326	-1,206
9,5726	-1,056
9,6126	-0,911
9,6526	-0,774
9,6926	-0,644
9,7326	-0,522
9,7726	-0,410
9,8126	-0,308
9,8526	-0,218
9,8926	-0,138
9,9326	-0,072
9,9726	-0,019
10,0126	0,022
10,0526	0,047
10,0926	0,057
10,1326	0,052
10,1726	0,035
10,2126	0,003
10,2526	-0,036
10,2926	-0,090
10,3326	-0,157
10,3726	-0,239
10,4126	-0,333
10,4526	-0,443
10,4926	-0,565
10,5326	-0,699
10,5726	-0,844
10,6126	-0,999
10,6526	-1,161
10,6926	-1,327
10,7326	-1,499
10,7726	-1,670
10,8126	-1,838
10,8526	-2,001
10,8926	-2,157
10,9326	-2,301
10,9726	-2,432
11,0126	-2,545
11,0526	-2,634
11,0926	-2,702
11,1326	-2,743
11,1726	-2,757
11,2126	-2,749
11,2526	-2,724
11,2926	-2,684
11,3326	-2,630
11,3726	-2,565
11,4126	-2,490
11,4526	-2,403
11,4926	-2,311
11,5326	-2,210
11,5726	-2,105
11,6126	-1,995
11,6526	-1,882
11,6926	-1,766
11,7326	-1,649
11,7726	-1,532
11,8126	-1,414
11,8526	-1,299
11,8926	-1,184
11,9326	-1,074
11,9726	-0,966
12,0126	-0,861
12,0526	-0,760
12,0926	-0,661
12,1326	-0,569
12,1726	-0,478
12,2126	-0,393
12,2526	-0,313
12,2926	-0,239
12,3326	-0,173
12,3726	-0,116
12,4126	-0,068
12,4526	-0,030
12,4926	-0,006
12,5326	0,003
12,5726	-0,003
12,6126	-0,024
12,6526	-0,060
12,6926	-0,112
12,7326	-0,179
12,7726	-0,265
12,8126	-0,369
12,8526	-0,489
12,8926	-0,622
12,9326	-0,771
12,9726	-0,933
13,0126	-1,106
13,0526	-1,285
13,0926	-1,472
13,1326	-1,659
13,1726	-1,846
13,2126	-2,026
13,2526	-2,201
13,2926	-2,364
13,3326	-2,513
13,3726	-2,647
13,4126	-2,760
13,4526	-2,854
13,4926	-2,923
13,5326	-2,969
13,5726	-2,988
13,6126	-2,983
13,6526	-2,956
13,6926	-2,909
13,7326	-2,845
13,7726	-2,763
13,8126	-2,666
13,8526	-2,551
13,8926	-2,424
13,9326	-2,286
13,9726	-2,138
14,0126	-1,981
14,0526	-1,817
14,0926	-1,652
14,1326	-1,486
14,1726	-1,321
14,2126	-1,159
14,2526	-1,004
14,2926	-0,855
14,3326	-0,715
14,3726	-0,586
14,4126	-0,467
14,4526	-0,360
14,4926	-0,264
14,5326	-0,181
14,5726	-0,112
14,6126	-0,055
14,6526	-0,011
14,6926	0,019
14,7326	0,035
14,7726	0,036
14,8126	0,025
14,8526	0,002
14,8926	-0,033
14,9326	-0,080
14,9726	-0,138
15,0126	-0,209
15,0526	-0,292
15,0926	-0,386
15,1326	-0,493
15,1726	-0,609
15,2126	-0,737
15,2526	-0,872
15,2926	-1,015
15,3326	-1,164
15,3726	-1,319
15,4126	-1,477
15,4526	-1,634
15,4926	-1,789
15,5326	-1,940
15,5726	-2,084
15,6126	-2,221
15,6526	-2,345
15,6926	-2,458
15,7326	-2,557
15,7726	-2,639
15,8126	-2,703
15,8526	-2,750
15,8926	-2,777
15,9326	-2,785
15,9726	-2,776
16,0126	-2,755
16,0526	-2,728
16,0926	-2,695
16,1326	-2,653
16,1726	-2,600
16,2126	-2,537
16,2526	-2,461
16,2926	-2,373
16,3326	-2,273
16,3726	-2,160
16,4126	-2,034
16,4526	-1,899
16,4926	-1,756
16,5326	-1,604
16,5726	-1,448
16,6126	-1,288
16,6526	-1,126
16,6926	-0,966
16,7326	-0,809
16,7726	-0,657
16,8126	-0,511
16,8526	-0,371
16,8926	-0,243
16,9326	-0,126
16,9726	-0,022
17,0126	0,068
17,0526	0,140
17,0926	0,195
17,1326	0,231
17,1726	0,247
17,2126	0,243
17,2526	0,221
17,2926	0,179
17,3326	0,118
17,3726	0,036
17,4126	-0,063
17,4526	-0,181
17,4926	-0,314
17,5326	-0,463
17,5726	-0,625
17,6126	-0,798
17,6526	-0,982
17,6926	-1,170
17,7326	-1,362
17,7726	-1,555
17,8126	-1,744
17,8526	-1,926
17,8926	-2,100
17,9326	-2,262
17,9726	-2,408
18,0126	-2,538
18,0526	-2,648
18,0926	-2,739
18,1326	-2,809
18,1726	-2,854
18,2126	-2,878
