Posizione angolare, Oscillazioni forzate 3.00 V
Tempo ( s )	Posizione angolare ( rad )
13,9096	-0,394
13,9496	-0,522
13,9896	-0,608
14,0296	-0,652
14,0696	-0,653
14,1096	-0,613
14,1496	-0,529
14,1896	-0,408
14,2296	-0,251
14,2696	-0,061
14,3096	0,159
14,3496	0,404
14,3896	0,669
14,4296	0,949
14,4696	1,239
14,5096	1,532
14,5496	1,824
14,5896	2,108
14,6296	2,381
14,6696	2,639
14,7096	2,876
14,7496	3,090
14,7896	3,275
14,8296	3,434
14,8696	3,559
14,9096	3,651
14,9496	3,709
14,9896	3,732
15,0296	3,723
15,0696	3,680
15,1096	3,610
15,1496	3,515
15,1896	3,399
15,2296	3,263
15,2696	3,105
15,3096	2,931
15,3496	2,739
15,3896	2,543
15,4296	2,347
15,4696	2,155
15,5096	1,968
15,5496	1,795
15,5896	1,640
15,6296	1,506
15,6696	1,398
15,7096	1,313
15,7496	1,250
15,7896	1,213
15,8296	1,199
15,8696	1,203
15,9096	1,206
15,9496	1,203
15,9896	1,200
16,0296	1,200
16,0696	1,202
16,1096	1,202
16,1496	1,200
16,1896	1,202
16,2296	1,202
16,2696	1,202
16,3096	1,202
16,3496	1,203
16,3896	1,203
16,4296	1,203
16,4696	1,205
16,5096	1,205
16,5496	1,208
16,5896	1,211
16,6296	1,219
16,6696	1,225
16,7096	1,230
16,7496	1,233
16,7896	1,236
16,8296	1,241
16,8696	1,247
16,9096	1,258
16,9496	1,274
16,9896	1,293
17,0296	1,315
17,0696	1,340
17,1096	1,370
17,1496	1,404
17,1896	1,444
17,2296	1,488
17,2696	1,533
17,3096	1,583
17,3496	1,634
17,3896	1,681
17,4296	1,720
17,4696	1,750
17,5096	1,764
17,5496	1,762
17,5896	1,753
17,6296	1,747
17,6696	1,737
17,7096	1,726
17,7496	1,711
17,7896	1,695
17,8296	1,678
17,8696	1,657
17,9096	1,629
17,9496	1,594
17,9896	1,549
18,0296	1,492
18,0696	1,426
18,1096	1,351
18,1496	1,266
18,1896	1,178
18,2296	1,085
18,2696	0,996
18,3096	0,909
18,3496	0,829
18,3896	0,759
18,4296	0,702
18,4696	0,661
18,5096	0,638
18,5496	0,635
18,5896	0,650
18,6296	0,682
18,6696	0,730
18,7096	0,798
18,7496	0,886
18,7896	0,991
18,8296	1,117
18,8696	1,261
18,9096	1,423
18,9496	1,601
18,9896	1,789
19,0296	1,990
19,0696	2,199
19,1096	2,411
19,1496	2,623
19,1896	2,831
19,2296	3,027
19,2696	3,209
19,3096	3,373
19,3496	3,511
19,3896	3,618
19,4296	3,691
19,4696	3,726
19,5096	3,721
19,5496	3,673
19,5896	3,581
19,6296	3,453
19,6696	3,285
19,7096	3,082
19,7496	2,846
19,7896	2,589
19,8296	2,318
19,8696	2,042
19,9096	1,762
19,9496	1,486
19,9896	1,219
20,0296	0,961
20,0696	0,718
20,1096	0,485
20,1496	0,270
20,1896	0,074
20,2296	-0,099
20,2696	-0,242
20,3096	-0,352
20,3496	-0,427
20,3896	-0,465
20,4296	-0,465
20,4696	-0,426
20,5096	-0,352
20,5496	-0,242
20,5896	-0,101
20,6296	0,074
20,6696	0,275
20,7096	0,500
20,7496	0,745
20,7896	1,005
20,8296	1,277
20,8696	1,557
20,9096	1,836
20,9496	2,111
20,9896	2,380
21,0296	2,636
21,0696	2,875
21,1096	3,094
21,1496	3,291
21,1896	3,460
21,2296	3,600
21,2696	3,709
21,3096	3,782
21,3496	3,822
21,3896	3,825
21,4296	3,790
21,4696	3,721
21,5096	3,619
21,5496	3,486
21,5896	3,322
21,6296	3,135
21,6696	2,922
21,7096	2,688
21,7496	2,441
21,7896	2,190
21,8296	1,937
21,8696	1,687
21,9096	1,445
21,9496	1,217
21,9896	1,007
22,0296	0,814
22,0696	0,638
22,1096	0,478
22,1496	0,336
22,1896	0,218
22,2296	0,130
22,2696	0,068
22,3096	0,031
22,3496	0,022
22,3896	0,038
22,4296	0,072
22,4696	0,127
22,5096	0,199
22,5496	0,289
22,5896	0,394
22,6296	0,512
22,6696	0,641
22,7096	0,781
22,7496	0,928
22,7896	1,082
22,8296	1,239
22,8696	1,400
22,9096	1,558
22,9496	1,717
22,9896	1,874
23,0296	2,025
23,0696	2,172
23,1096	2,312
23,1496	2,444
23,1896	2,568
23,2296	2,684
23,2696	2,788
23,3096	2,882
23,3496	2,964
23,3896	3,033
23,4296	3,090
23,4696	3,127
23,5096	3,151
23,5496	3,154
23,5896	3,138
23,6296	3,104
23,6696	3,049
23,7096	2,974
23,7496	2,878
23,7896	2,761
23,8296	2,623
23,8696	2,466
23,9096	2,292
23,9496	2,102
23,9896	1,901
24,0296	1,687
24,0696	1,469
24,1096	1,246
24,1496	1,026
24,1896	0,812
24,2296	0,609
24,2696	0,421
24,3096	0,248
24,3496	0,096
24,3896	-0,033
24,4296	-0,137
24,4696	-0,210
24,5096	-0,254
24,5496	-0,267
24,5896	-0,248
24,6296	-0,199
24,6696	-0,121
24,7096	-0,016
24,7496	0,118
24,7896	0,273
24,8296	0,452
24,8696	0,649
24,9096	0,861
24,9496	1,085
24,9896	1,318
25,0296	1,555
25,0696	1,792
25,1096	2,028
25,1496	2,256
25,1896	2,474
25,2296	2,680
25,2696	2,870
25,3096	3,043
25,3496	3,195
25,3896	3,325
25,4296	3,432
25,4696	3,511
25,5096	3,563
25,5496	3,586
25,5896	3,580
25,6296	3,544
25,6696	3,479
25,7096	3,387
25,7496	3,267
25,7896	3,123
25,8296	2,956
25,8696	2,772
25,9096	2,579
25,9496	2,384
25,9896	2,193
26,0296	2,004
26,0696	1,824
26,1096	1,654
26,1496	1,492
26,1896	1,343
26,2296	1,208
26,2696	1,087
26,3096	0,980
26,3496	0,886
26,3896	0,803
26,4296	0,730
26,4696	0,671
26,5096	0,622
26,5496	0,581
26,5896	0,547
26,6296	0,523
26,6696	0,514
26,7096	0,520
26,7496	0,537
26,7896	0,564
26,8296	0,600
26,8696	0,649
26,9096	0,707
26,9496	0,774
26,9896	0,856
27,0296	0,952
27,0696	1,060
27,1096	1,183
27,1496	1,318
27,1896	1,466
27,2296	1,624
27,2696	1,792
27,3096	1,967
27,3496	2,149
27,3896	2,333
27,4296	2,516
27,4696	2,697
27,5096	2,871
27,5496	3,035
27,5896	3,182
27,6296	3,313
27,6696	3,418
27,7096	3,498
27,7496	3,548
27,7896	3,563
27,8296	3,544
27,8696	3,487
27,9096	3,394
27,9496	3,266
27,9896	3,102
28,0296	2,906
28,0696	2,678
28,1096	2,424
28,1496	2,150
28,1896	1,861
28,2296	1,566
28,2696	1,271
28,3096	0,986
28,3496	0,716
28,3896	0,470
28,4296	0,261
28,4696	0,086
28,5096	-0,053
28,5496	-0,160
28,5896	-0,232
28,6296	-0,269
28,6696	-0,269
28,7096	-0,239
28,7496	-0,181
28,7896	-0,093
28,8296	0,019
28,8696	0,154
28,9096	0,311
28,9496	0,485
28,9896	0,677
29,0296	0,880
29,0696	1,090
29,1096	1,307
29,1496	1,524
29,1896	1,740
29,2296	1,953
29,2696	2,157
29,3096	2,350
29,3496	2,532
29,3896	2,699
29,4296	2,849
29,4696	2,983
29,5096	3,098
29,5496	3,193
29,5896	3,269
29,6296	3,322
29,6696	3,352
29,7096	3,360
29,7496	3,346
29,7896	3,310
29,8296	3,252
29,8696	3,175
29,9096	3,076
29,9496	2,958
29,9896	2,820
30,0296	2,664
30,0696	2,493
30,1096	2,306
30,1496	2,106
30,1896	1,899
30,2296	1,684
30,2696	1,467
30,3096	1,249
30,3496	1,037
30,3896	0,833
30,4296	0,641
30,4696	0,465
30,5096	0,306
30,5496	0,167
30,5896	0,050
30,6296	-0,042
30,6696	-0,108
30,7096	-0,146
30,7496	-0,154
30,7896	-0,135
30,8296	-0,091
30,8696	-0,020
30,9096	0,074
30,9496	0,190
30,9896	0,327
31,0296	0,482
31,0696	0,653
31,1096	0,837
31,1496	1,032
31,1896	1,235
31,2296	1,440
31,2696	1,648
31,3096	1,854
31,3496	2,055
31,3896	2,248
31,4296	2,433
31,4696	2,608
31,5096	2,768
31,5496	2,915
31,5896	3,044
31,6296	3,157
31,6696	3,250
31,7096	3,321
31,7496	3,371
31,7896	3,396
31,8296	3,398
31,8696	3,374
31,9096	3,327
31,9496	3,256
31,9896	3,160
32,0296	3,041
32,0696	2,900
32,1096	2,736
32,1496	2,553
32,1896	2,350
32,2296	2,133
32,2696	1,905
32,3096	1,668
32,3496	1,428
32,3896	1,186
32,4296	0,950
32,4696	0,724
32,5096	0,512
32,5496	0,316
32,5896	0,141
32,6296	-0,009
32,6696	-0,134
32,7096	-0,229
32,7496	-0,292
32,7896	-0,322
32,8296	-0,319
32,8696	-0,283
32,9096	-0,217
32,9496	-0,121
32,9896	0,003
33,0296	0,152
33,0696	0,324
33,1096	0,517
33,1496	0,726
33,1896	0,947
33,2296	1,178
33,2696	1,415
33,3096	1,654
33,3496	1,890
33,3896	2,121
33,4296	2,342
33,4696	2,553
33,5096	2,747
33,5496	2,926
33,5896	3,085
33,6296	3,225
33,6696	3,340
33,7096	3,431
33,7496	3,495
33,7896	3,533
33,8296	3,542
33,8696	3,523
33,9096	3,476
33,9496	3,407
33,9896	3,318
34,0296	3,208
34,0696	3,077
34,1096	2,926
34,1496	2,760
34,1896	2,584
34,2296	2,408
34,2696	2,235
34,3096	2,069
34,3496	1,910
34,3896	1,761
34,4296	1,619
34,4696	1,489
34,5096	1,368
34,5496	1,258
34,5896	1,161
34,6296	1,074
34,6696	0,999
34,7096	0,931
34,7496	0,877
34,7896	0,829
34,8296	0,793
34,8696	0,768
34,9096	0,754
34,9496	0,751
34,9896	0,756
35,0296	0,763
35,0696	0,778
35,1096	0,796
35,1496	0,823
35,1896	0,858
35,2296	0,902
35,2696	0,958
35,3096	1,027
35,3496	1,109
35,3896	1,205
35,4296	1,315
35,4696	1,439
35,5096	1,576
35,5496	1,725
35,5896	1,885
35,6296	2,055
35,6696	2,232
35,7096	2,411
35,7496	2,593
35,7896	2,769
35,8296	2,939
35,8696	3,098
35,9096	3,237
35,9496	3,357
35,9896	3,449
36,0296	3,512
36,0696	3,541
36,1096	3,530
36,1496	3,482
36,1896	3,396
36,2296	3,270
36,2696	3,107
36,3096	2,908
36,3496	2,673
36,3896	2,413
36,4296	2,127
36,4696	1,822
36,5096	1,505
36,5496	1,181
36,5896	0,859
36,6296	0,547
36,6696	0,248
36,7096	-0,028
36,7496	-0,275
36,7896	-0,489
36,8296	-0,661
36,8696	-0,789
36,9096	-0,867
36,9496	-0,894
36,9896	-0,872
37,0296	-0,801
37,0696	-0,685
37,1096	-0,523
37,1496	-0,319
37,1896	-0,080
37,2296	0,192
37,2696	0,490
37,3096	0,809
37,3496	1,144
37,3896	1,484
