# Posizione. Oscillazioni forzate 3.50 V
# Tempo ( s )	Posizione ( m )
0.000000	0.0000
1.696628	0.0500
3.394894	0.1000
5.087516	0.1500
6.792782	0.2000
8.503716	0.2500
10.203492	0.3000
11.915552	0.3500
13.617036	0.4000
15.328268	0.4500
17.030784	0.5000
18.727352	0.5500
20.427476	0.6000
22.116906	0.6500
23.794424	0.7000
25.468812	0.7500
27.140556	0.8000
28.832106	0.8500
30.532784	0.9000
32.234088	0.9500
33.922426	1.0000
35.611452	1.0500
37.303232	1.1000
38.992032	1.1500
40.686046	1.2000
42.375634	1.2500
44.073112	1.3000
45.763976	1.3500
47.468778	1.4000
49.181894	1.4500
50.901878	1.5000
52.627364	1.5500
54.343704	1.6000
56.061944	1.6500
57.773344	1.7000
59.479360	1.7500
61.179556	1.8000
62.888250	1.8500
64.576102	1.9000
66.251978	1.9500
67.932678	2.0000
69.632944	2.0500
71.342964	2.1000
73.051260	2.1500
74.762324	2.2000
76.473852	2.2500
78.178694	2.3000
79.880142	2.3500
81.580658	2.4000
83.281450	2.4500
84.972320	2.5000
86.671544	2.5500
88.379344	2.6000
90.084740	2.6500
91.787448	2.7000
93.489174	2.7500
95.212776	2.8000
96.953766	2.8500
98.689418	2.9000
100.428508	2.9500
102.176676	3.0000
103.912488	3.0500
105.648948	3.1000
107.396162	3.1500
109.143466	3.2000
110.883168	3.2500
112.603336	3.3000
114.334142	3.3500
116.057774	3.4000
117.779298	3.4500
119.503172	3.5000
121.210080	3.5500
122.898036	3.6000
124.612052	3.6500
126.285386	3.7000
127.964110	3.7500
129.654238	3.8000
131.349530	3.8500
133.058780	3.9000
134.761020	3.9500
136.458944	4.0000
138.157630	4.0500
139.863766	4.1000
141.562932	4.1500
143.250684	4.2000
144.949482	4.2500
146.670416	4.3000
148.364580	4.3500
150.064948	4.4000
151.766174	4.4500
153.442788	4.5000
155.145236	4.5500
156.851094	4.6000
158.562174	4.6500
160.271900	4.7000
161.975626	4.7500
163.685324	4.8000
165.403318	4.8500
167.123464	4.9000
168.850966	4.9500
170.572944	5.0000
172.282500	5.0500
174.001434	5.1000
175.735250	5.1500
177.454248	5.2000
179.158796	5.2500
180.865956	5.3000
182.555222	5.3500
184.255076	5.4000
185.935952	5.4500
187.612276	5.5000
189.302974	5.5500
191.007568	5.6000
192.708044	5.6500
194.402170	5.7000
196.090152	5.7500
197.756790	5.8000
199.418332	5.8500
201.077368	5.9000
202.742144	5.9500
204.407222	6.0000
206.089840	6.0500
207.771696	6.1000
209.460908	6.1500
211.158492	6.2000
212.854312	6.2500
214.526464	6.3000
216.194666	6.3500
217.860294	6.4000
219.520016	6.4500
221.179838	6.5000
222.862430	6.5500
224.553762	6.6000
226.251982	6.6500
227.962402	6.7000
229.671352	6.7500
231.375584	6.8000
233.087420	6.8500
234.800084	6.9000
236.524468	6.9500
238.251306	7.0000
239.979604	7.0500
241.705690	7.1000
243.450554	7.1500
245.174780	7.2000
246.898768	7.2500
248.605996	7.3000
250.319410	7.3500
252.028454	7.4000
253.744194	7.4500
255.448570	7.5000
257.176290	7.5500
258.890044	7.6000
260.611034	7.6500
262.353186	7.7000
264.079196	7.7500
265.811948	7.8000
267.533348	7.8500
269.235284	7.9000
270.959860	7.9500
272.689340	8.0000
274.412084	8.0500
