Posizione, Oscillazioni forzate 2.50 V
Tempo ( s )	Posizione ( m )
0,000000	0,0000
2,549666	0,0500
5,122338	0,1000
7,689268	0,1500
10,274360	0,2000
12,845876	0,2500
15,429490	0,3000
17,967902	0,3500
20,516530	0,4000
23,116420	0,4500
25,688636	0,5000
28,269628	0,5500
30,869250	0,6000
33,521862	0,6500
36,116398	0,7000
38,683852	0,7500
41,259300	0,8000
43,831480	0,8500
46,412412	0,9000
49,022068	0,9500
51,638608	1,0000
54,252304	1,0500
56,851316	1,1000
59,464394	1,1500
62,058646	1,2000
64,667162	1,2500
67,271246	1,3000
69,873796	1,3500
72,491244	1,4000
75,120182	1,4500
77,703784	1,5000
80,292440	1,5500
82,884576	1,6000
85,428136	1,6500
87,937474	1,7000
90,507084	1,7500
93,091284	1,8000
95,651382	1,8500
98,203162	1,9000
100,806014	1,9500
103,422550	2,0000
106,020890	2,0500
108,591730	2,1000
111,149088	2,1500
113,748376	2,2000
116,378266	2,2500
119,022302	2,3000
121,605592	2,3500
124,180828	2,4000
126,780002	2,4500
129,371254	2,5000
