Posizione angolare, Oscillazioni forzate 1.70 V
Tempo ( s )	Posizione angolare ( rad )
0,0435	0,342
0,0835	0,404
0,1235	0,470
0,1635	0,539
0,2035	0,611
0,2435	0,683
0,2835	0,759
0,3235	0,833
0,3635	0,905
0,4035	0,977
0,4435	1,048
0,4835	1,114
0,5235	1,178
0,5635	1,239
0,6035	1,296
0,6435	1,349
0,6835	1,398
0,7235	1,442
0,7635	1,483
0,8035	1,519
0,8435	1,550
0,8835	1,579
0,9235	1,602
0,9635	1,623
1,0035	1,640
1,0435	1,654
1,0835	1,665
1,1235	1,673
1,1635	1,678
1,2035	1,681
1,2435	1,681
1,2835	1,681
1,3235	1,681
1,3635	1,681
1,4035	1,681
1,4435	1,681
1,4835	1,681
1,5235	1,681
1,5635	1,679
1,6035	1,676
1,6435	1,670
1,6835	1,663
1,7235	1,652
1,7635	1,638
1,8035	1,619
1,8435	1,598
1,8835	1,571
1,9235	1,538
1,9635	1,502
2,0035	1,459
2,0435	1,414
2,0835	1,362
2,1235	1,305
2,1635	1,244
2,2035	1,180
2,2435	1,111
2,2835	1,040
2,3235	0,966
2,3635	0,892
2,4035	0,815
2,4435	0,741
2,4835	0,668
2,5235	0,595
2,5635	0,526
2,6035	0,462
2,6435	0,402
2,6835	0,349
2,7235	0,300
2,7635	0,258
2,8035	0,221
2,8435	0,190
2,8835	0,165
2,9235	0,145
2,9635	0,129
3,0035	0,118
3,0435	0,110
3,0835	0,105
3,1235	0,102
3,1635	0,101
3,2035	0,099
3,2435	0,097
3,2835	0,096
3,3235	0,091
3,3635	0,086
3,4035	0,079
3,4435	0,069
3,4835	0,057
3,5235	0,042
3,5635	0,027
3,6035	0,008
3,6435	-0,013
3,6835	-0,035
3,7235	-0,057
3,7635	-0,079
3,8035	-0,099
3,8435	-0,119
3,8835	-0,135
3,9235	-0,149
3,9635	-0,159
4,0035	-0,165
4,0435	-0,165
4,0835	-0,162
4,1235	-0,154
4,1635	-0,141
4,2035	-0,127
4,2435	-0,110
4,2835	-0,093
4,3235	-0,072
4,3635	-0,047
4,4035	-0,019
4,4435	0,014
4,4835	0,052
4,5235	0,094
4,5635	0,141
4,6035	0,192
4,6435	0,248
4,6835	0,306
4,7235	0,369
4,7635	0,435
4,8035	0,501
4,8435	0,569
4,8835	0,636
4,9235	0,704
4,9635	0,771
5,0035	0,836
5,0435	0,898
5,0835	0,961
5,1235	1,019
5,1635	1,076
5,2035	1,129
5,2435	1,178
5,2835	1,225
5,3235	1,269
5,3635	1,310
5,4035	1,346
5,4435	1,381
5,4835	1,412
5,5235	1,442
5,5635	1,469
5,6035	1,494
5,6435	1,517
5,6835	1,539
5,7235	1,560
5,7635	1,580
5,8035	1,601
5,8435	1,619
5,8835	1,637
5,9235	1,654
5,9635	1,668
6,0035	1,681
6,0435	1,690
6,0835	1,698
6,1235	1,701
6,1635	1,703
6,2035	1,703
6,2435	1,700
6,2835	1,696
6,3235	1,692
6,3635	1,684
6,4035	1,673
6,4435	1,660
6,4835	1,643
6,5235	1,623
6,5635	1,599
6,6035	1,571
6,6435	1,538
6,6835	1,502
6,7235	1,461
6,7635	1,417
6,8035	1,368
6,8435	1,315
6,8835	1,258
6,9235	1,199
6,9635	1,136
7,0035	1,071
7,0435	1,004
7,0835	0,936
7,1235	0,867
7,1635	0,798
7,2035	0,729
7,2435	0,661
7,2835	0,597
7,3235	0,536
7,3635	0,476
7,4035	0,423
7,4435	0,372
7,4835	0,327
7,5235	0,286
7,5635	0,251
7,6035	0,220
7,6435	0,193
7,6835	0,171
7,7235	0,152
7,7635	0,137
7,8035	0,124
7,8435	0,115
7,8835	0,107
7,9235	0,099
7,9635	0,093
8,0035	0,088
8,0435	0,082
8,0835	0,075
8,1235	0,068
8,1635	0,058
8,2035	0,047
8,2435	0,035
8,2835	0,022
8,3235	0,006
8,3635	-0,011
8,4035	-0,028
8,4435	-0,047
8,4835	-0,064
8,5235	-0,082
8,5635	-0,099
8,6035	-0,113
8,6435	-0,126
8,6835	-0,135
8,7235	-0,141
8,7635	-0,143
8,8035	-0,141
8,8435	-0,135
8,8835	-0,127
8,9235	-0,115
8,9635	-0,101
9,0035	-0,083
9,0435	-0,064
9,0835	-0,041
9,1235	-0,016
9,1635	0,016
9,2035	0,049
9,2435	0,086
9,2835	0,127
9,3235	0,171
9,3635	0,217
9,4035	0,267
9,4435	0,319
9,4835	0,374
9,5235	0,434
9,5635	0,495
9,6035	0,559
9,6435	0,624
9,6835	0,690
9,7235	0,756
9,7635	0,822
9,8035	0,888
9,8435	0,952
9,8835	1,015
9,9235	1,074
9,9635	1,133
10,0035	1,189
10,0435	1,241
10,0835	1,291
10,1235	1,337
10,1635	1,379
10,2035	1,418
10,2435	1,456
10,2835	1,489
10,3235	1,521
10,3635	1,549
10,4035	1,574
10,4435	1,596
10,4835	1,618
10,5235	1,637
10,5635	1,652
10,6035	1,667
10,6435	1,678
10,6835	1,684
10,7235	1,689
10,7635	1,690
10,8035	1,690
10,8435	1,690
10,8835	1,689
10,9235	1,689
10,9635	1,687
11,0035	1,684
11,0435	1,681
11,0835	1,676
11,1235	1,668
11,1635	1,659
11,2035	1,646
11,2435	1,629
11,2835	1,608
11,3235	1,583
11,3635	1,555
11,4035	1,522
11,4435	1,484
11,4835	1,442
11,5235	1,393
11,5635	1,341
11,6035	1,285
11,6435	1,224
11,6835	1,159
11,7235	1,092
11,7635	1,021
11,8035	0,949
11,8435	0,875
11,8835	0,803
11,9235	0,729
11,9635	0,657
12,0035	0,589
12,0435	0,523
12,0835	0,460
12,1235	0,404
12,1635	0,352
12,2035	0,305
12,2435	0,262
12,2835	0,226
12,3235	0,196
12,3635	0,170
12,4035	0,149
12,4435	0,132
12,4835	0,119
12,5235	0,110
12,5635	0,104
12,6035	0,099
12,6435	0,096
12,6835	0,094
12,7235	0,091
12,7635	0,088
12,8035	0,085
12,8435	0,080
12,8835	0,072
12,9235	0,063
12,9635	0,052
13,0035	0,038
13,0435	0,022
13,0835	0,005
13,1235	-0,014
13,1635	-0,035
13,2035	-0,055
13,2435	-0,075
13,2835	-0,094
13,3235	-0,112
13,3635	-0,127
13,4035	-0,140
13,4435	-0,148
13,4835	-0,151
13,5235	-0,151
13,5635	-0,146
13,6035	-0,137
13,6435	-0,123
13,6835	-0,105
13,7235	-0,083
13,7635	-0,060
13,8035	-0,033
13,8435	-0,002
13,8835	0,033
13,9235	0,071
13,9635	0,110
14,0035	0,154
14,0435	0,201
14,0835	0,253
14,1235	0,308
14,1635	0,366
14,2035	0,427
14,2435	0,490
14,2835	0,558
14,3235	0,625
14,3635	0,693
14,4035	0,762
14,4435	0,831
14,4835	0,898
14,5235	0,963
14,5635	1,027
14,6035	1,087
14,6435	1,145
14,6835	1,200
14,7235	1,253
14,7635	1,301
14,8035	1,346
14,8435	1,389
14,8835	1,426
14,9235	1,462
14,9635	1,494
15,0035	1,522
15,0435	1,549
15,0835	1,571
15,1235	1,591
15,1635	1,608
15,2035	1,624
15,2435	1,637
15,2835	1,648
15,3235	1,656
15,3635	1,662
15,4035	1,665
15,4435	1,667
15,4835	1,668
15,5235	1,668
15,5635	1,668
15,6035	1,668
15,6435	1,668
15,6835	1,667
15,7235	1,665
15,7635	1,662
15,8035	1,657
15,8435	1,651
15,8835	1,640
15,9235	1,627
