# Posizione. Oscillazioni forzate 2.20 V
# Tempo ( s )	Posizione ( m )
0.000000	0.0000
3.327372	0.0500
6.631368	0.1000
9.879868	0.1500
13.117992	0.2000
16.342732	0.2500
19.580146	0.3000
22.801328	0.3500
26.014820	0.4000
29.268792	0.4500
32.434136	0.5000
35.648768	0.5500
38.867954	0.6000
42.036536	0.6500
45.191818	0.7000
48.362084	0.7500
51.531976	0.8000
54.669984	0.8500
57.822436	0.9000
60.927374	0.9500
64.114044	1.0000
67.339282	1.0500
70.545148	1.1000
73.741086	1.1500
76.888798	1.2000
80.020884	1.2500
83.170648	1.3000
86.322188	1.3500
89.567544	1.4000
92.808290	1.4500
96.045840	1.5000
99.254106	1.5500
102.457564	1.6000
105.680434	1.6500
108.881336	1.7000
112.040918	1.7500
115.234332	1.8000
118.326984	1.8500
121.410776	1.9000
124.427126	1.9500
127.518572	2.0000
