# Posizione angolare. Oscillazioni forzate 3.50 V
# Tempo ( s )	Posizione angolare ( rad )
0.0519	1.093
0.0919	1.626
0.1319	2.161
0.1719	2.694
0.2119	3.209
0.2519	3.698
0.2919	4.150
0.3319	4.555
0.3719	4.904
0.4119	5.188
0.4519	5.404
0.4919	5.545
0.5319	5.608
0.5719	5.592
0.6119	5.498
0.6519	5.327
0.6919	5.082
0.7319	4.767
0.7719	4.390
0.8119	3.958
0.8519	3.482
0.8919	2.974
0.9319	2.447
0.9719	1.921
1.0119	1.407
1.0519	0.909
1.0919	0.437
1.1319	-0.006
1.1719	-0.408
1.2119	-0.757
1.2519	-1.048
1.2919	-1.271
1.3319	-1.422
1.3719	-1.499
1.4119	-1.497
1.4519	-1.418
1.4919	-1.268
1.5319	-1.046
1.5719	-0.760
1.6119	-0.416
1.6519	-0.022
1.6919	0.415
1.7319	0.884
1.7719	1.376
1.8119	1.880
1.8519	2.384
1.8919	2.881
1.9319	3.358
1.9719	3.808
2.0119	4.219
2.0519	4.584
2.0919	4.893
2.1319	5.141
2.1719	5.322
2.2119	5.432
2.2519	5.466
2.2919	5.427
2.3319	5.311
2.3719	5.124
2.4119	4.866
2.4519	4.543
2.4919	4.161
2.5319	3.729
2.5719	3.258
2.6119	2.760
2.6519	2.254
2.6919	1.753
2.7319	1.263
2.7719	0.790
2.8119	0.342
2.8519	-0.074
2.8919	-0.449
2.9319	-0.773
2.9719	-1.037
3.0119	-1.235
3.0519	-1.363
3.0919	-1.418
3.1319	-1.400
3.1719	-1.307
3.2119	-1.144
3.2519	-0.913
3.2919	-0.619
3.3319	-0.270
3.3719	0.127
3.4119	0.564
3.4519	1.030
3.4919	1.517
3.5319	2.015
3.5719	2.512
3.6119	2.999
3.6519	3.465
3.6919	3.902
3.7319	4.299
3.7719	4.650
3.8119	4.943
3.8519	5.176
3.8919	5.339
3.9319	5.432
3.9719	5.451
4.0119	5.393
4.0519	5.259
4.0919	5.053
4.1319	4.780
4.1719	4.441
4.2119	4.045
4.2519	3.600
4.2919	3.118
4.3319	2.611
4.3719	2.097
4.4119	1.588
4.4519	1.092
4.4919	0.616
4.5319	0.167
4.5719	-0.248
4.6119	-0.616
4.6519	-0.928
4.6919	-1.178
4.7319	-1.359
4.7719	-1.467
4.8119	-1.499
4.8519	-1.453
4.8919	-1.332
4.9319	-1.139
4.9719	-0.877
5.0119	-0.553
5.0519	-0.173
5.0919	0.254
5.1319	0.719
5.1719	1.213
5.2119	1.723
5.2519	2.240
5.2919	2.754
5.3319	3.252
5.3719	3.726
5.4119	4.164
5.4519	4.558
5.4919	4.898
5.5319	5.176
5.5719	5.386
5.6119	5.523
5.6519	5.583
5.6919	5.562
5.7319	5.462
5.7719	5.284
5.8119	5.031
5.8519	4.708
5.8919	4.320
5.9319	3.877
5.9719	3.388
6.0119	2.867
6.0519	2.329
6.0919	1.792
6.1319	1.268
6.1719	0.759
6.2119	0.273
6.2519	-0.178
6.2919	-0.584
6.3319	-0.935
6.3719	-1.222
6.4119	-1.437
6.4519	-1.577
6.4919	-1.637
6.5319	-1.615
6.5719	-1.511
6.6119	-1.332
6.6519	-1.079
6.6919	-0.760
6.7319	-0.382
6.7719	0.049
6.8119	0.520
6.8519	1.023
6.8919	1.546
6.9319	2.077
6.9719	2.606
7.0119	3.123
7.0519	3.616
7.0919	4.075
7.1319	4.488
7.1719	4.847
7.2119	5.148
7.2519	5.377
7.2919	5.534
7.3319	5.614
7.3719	5.612
7.4119	5.532
7.4519	5.374
7.4919	5.140
7.5319	4.835
7.5719	4.464
7.6119	4.037
7.6519	3.563
7.6919	3.052
7.7319	2.520
7.7719	1.985
7.8119	1.459
7.8519	0.949
7.8919	0.460
7.9319	0.002
7.9719	-0.415
8.0119	-0.779
8.0519	-1.084
8.0919	-1.321
8.1319	-1.484
8.1719	-1.571
8.2119	-1.579
8.2519	-1.508
8.2919	-1.360
8.3319	-1.140
8.3719	-0.853
8.4119	-0.506
8.4519	-0.105
8.4919	0.339
8.5319	0.817
8.5719	1.318
8.6119	1.833
8.6519	2.350
8.6919	2.859
8.7319	3.349
8.7719	3.809
8.8119	4.232
8.8519	4.607
8.8919	4.926
8.9319	5.182
8.9719	5.369
9.0119	5.484
9.0519	5.523
9.0919	5.484
