Posizione angolare, Oscillazioni libere
Tempo ( s )	Posizione angolare ( rad )
14,0400	4,155
14,0800	3,938
14,1200	3,698
14,1600	3,440
14,2000	3,175
14,2400	2,908
14,2800	2,648
14,3200	2,402
14,3600	2,177
14,4000	1,979
14,4400	1,814
14,4800	1,689
14,5200	1,605
14,5600	1,568
14,6000	1,576
14,6400	1,627
14,6800	1,723
14,7200	1,857
14,7600	2,026
14,8000	2,227
14,8400	2,452
14,8800	2,694
14,9200	2,945
14,9600	3,201
15,0000	3,451
15,0400	3,691
15,0800	3,913
15,1200	4,109
15,1600	4,276
15,2000	4,406
15,2400	4,497
15,2800	4,547
15,3200	4,557
15,3600	4,522
15,4000	4,447
15,4400	4,335
15,4800	4,189
15,5200	4,012
15,5600	3,811
15,6000	3,589
15,6400	3,355
15,6800	3,113
15,7200	2,871
15,7600	2,637
15,8000	2,417
15,8400	2,220
15,8800	2,047
15,9200	1,905
15,9600	1,800
16,0000	1,734
16,0400	1,709
16,0800	1,726
16,1200	1,783
16,1600	1,877
16,2000	2,007
16,2400	2,168
16,2800	2,355
16,3200	2,560
16,3600	2,782
16,4000	3,013
16,4400	3,244
16,4800	3,468
16,5200	3,680
16,5600	3,875
16,6000	4,046
16,6400	4,191
16,6800	4,301
16,7200	4,375
16,7600	4,411
16,8000	4,409
16,8400	4,370
16,8800	4,295
16,9200	4,186
16,9600	4,048
17,0000	3,883
17,0400	3,696
17,0800	3,493
17,1200	3,281
17,1600	3,063
17,2000	2,846
17,2400	2,639
17,2800	2,446
17,3200	2,273
17,3600	2,124
17,4000	2,004
17,4400	1,918
17,4800	1,866
17,5200	1,852
17,5600	1,876
17,6000	1,934
17,6400	2,026
17,6800	2,149
17,7200	2,298
17,7600	2,468
17,8000	2,656
17,8400	2,856
17,8800	3,061
17,9200	3,267
17,9600	3,467
18,0000	3,652
18,0400	3,822
18,0800	3,969
18,1200	4,092
18,1600	4,183
18,2000	4,243
18,2400	4,269
18,2800	4,260
18,3200	4,218
18,3600	4,145
18,4000	4,043
18,4400	3,916
18,4800	3,765
18,5200	3,596
18,5600	3,413
18,6000	3,222
18,6400	3,028
18,6800	2,837
18,7200	2,655
18,7600	2,485
18,8000	2,334
18,8400	2,207
18,8800	2,106
18,9200	2,036
18,9600	1,996
19,0000	1,990
19,0400	2,015
19,0800	2,073
19,1200	2,160
19,1600	2,271
19,2000	2,406
19,2400	2,560
19,2800	2,728
19,3200	2,906
19,3600	3,090
19,4000	3,270
19,4400	3,446
19,4800	3,610
19,5200	3,756
19,5600	3,883
19,6000	3,987
19,6400	4,064
19,6800	4,112
19,7200	4,130
19,7600	4,115
19,8000	4,073
19,8400	4,006
19,8800	3,911
19,9200	3,793
19,9600	3,658
20,0000	3,506
20,0400	3,344
20,0800	3,175
20,1200	3,005
20,1600	2,838
20,2000	2,680
20,2400	2,535
20,2800	2,406
20,3200	2,300
20,3600	2,216
20,4000	2,160
20,4400	2,132
20,4800	2,132
20,5200	2,158
20,5600	2,213
20,6000	2,292
20,6400	2,394
20,6800	2,515
20,7200	2,652
20,7600	2,801
20,8000	2,956
20,8400	3,115
20,8800	3,274
20,9200	3,424
20,9600	3,566
21,0000	3,691
21,0400	3,798
21,0800	3,885
21,1200	3,946
21,1600	3,984
21,2000	3,995
21,2400	3,977
21,2800	3,936
21,3200	3,870
21,3600	3,784
21,4000	3,679
21,4400	3,558
21,4800	3,424
21,5200	3,283
21,5600	3,135
21,6000	2,988
21,6400	2,843
21,6800	2,710
21,7200	2,586
21,7600	2,479
21,8000	2,391
21,8400	2,323
21,8800	2,281
21,9200	2,262
21,9600	2,268
22,0000	2,298
22,0400	2,350
22,0800	2,422
22,1200	2,515
22,1600	2,623
22,2000	2,744
22,2400	2,875
22,2800	3,008
22,3200	3,145
22,3600	3,278
22,4000	3,407
22,4400	3,523
22,4800	3,627
22,5200	3,715
22,5600	3,781
22,6000	3,828
22,6400	3,853
22,6800	3,855
22,7200	3,834
22,7600	3,793
22,8000	3,732
22,8400	3,654
22,8800	3,561
22,9200	3,456
22,9600	3,341
23,0000	3,219
23,0400	3,093
23,0800	2,969
23,1200	2,849
23,1600	2,739
23,2000	2,639
23,2400	2,554
23,2800	2,487
23,3200	2,436
23,3600	2,406
23,4000	2,397
23,4400	2,410
23,4800	2,443
23,5200	2,491
23,5600	2,559
23,6000	2,639
23,6400	2,733
23,6800	2,837
23,7200	2,947
23,7600	3,060
23,8000	3,171
23,8400	3,280
23,8800	3,382
23,9200	3,475
23,9600	3,555
24,0000	3,619
24,0400	3,666
24,0800	3,696
24,1200	3,707
24,1600	3,699
24,2000	3,676
24,2400	3,635
24,2800	3,580
24,3200	3,511
24,3600	3,429
24,4000	3,341
24,4400	3,245
24,4800	3,146
24,5200	3,047
24,5600	2,950
24,6000	2,857
24,6400	2,774
24,6800	2,700
24,7200	2,641
24,7600	2,593
24,8000	2,562
24,8400	2,548
24,8800	2,551
24,9200	2,570
24,9600	2,604
25,0000	2,652
25,0400	2,711
25,0800	2,780
25,1200	2,859
25,1600	2,942
25,2000	3,030
25,2400	3,118
25,2800	3,204
25,3200	3,286
25,3600	3,360
25,4000	3,426
25,4400	3,482
25,4800	3,525
25,5200	3,555
25,5600	3,569
25,6000	3,567
25,6400	3,553
25,6800	3,526
25,7200	3,489
25,7600	3,438
25,8000	3,380
25,8400	3,313
25,8800	3,241
25,9200	3,165
25,9600	3,090
26,0000	3,014
26,0400	2,944
26,0800	2,876
26,1200	2,816
26,1600	2,768
26,2000	2,728
26,2400	2,702
26,2800	2,688
26,3200	2,686
26,3600	2,695
26,4000	2,717
26,4400	2,750
26,4800	2,791
26,5200	2,842
26,5600	2,897
26,6000	2,956
26,6400	3,019
26,6800	3,082
26,7200	3,146
26,7600	3,206
26,8000	3,263
26,8400	3,313
26,8800	3,354
26,9200	3,388
26,9600	3,412
27,0000	3,426
27,0400	3,429
27,0800	3,421
27,1200	3,402
27,1600	3,377
27,2000	3,344
27,2400	3,305
27,2800	3,261
27,3200	3,212
27,3600	3,162
27,4000	3,112
27,4400	3,063
27,4800	3,018
27,5200	2,978
27,5600	2,942
27,6000	2,914
27,6400	2,895
27,6800	2,882
27,7200	2,881
27,7600	2,884
27,8000	2,895
27,8400	2,911
27,8800	2,931
27,9200	2,956
27,9600	2,985
28,0000	3,016
28,0400	3,047
28,0800	3,079
28,1200	3,109
28,1600	3,137
28,2000	3,164
28,2400	3,187
28,2800	3,208
28,3200	3,222
28,3600	3,231
28,4000	3,234
28,4400	3,234
28,4800	3,230
28,5200	3,222
28,5600	3,209
28,6000	3,195
28,6400	3,178
28,6800	3,159
28,7200	3,140
28,7600	3,120
28,8000	3,101
28,8400	3,080
28,8800	3,061
28,9200	3,046
28,9600	3,032
29,0000	3,021
29,0400	3,013
29,0800	3,008
29,1200	3,005
29,1600	3,007
29,2000	3,011
29,2400	3,018
29,2800	3,027
29,3200	3,038
29,3600	3,049
29,4000	3,060
29,4400	3,072
29,4800	3,087
29,5200	3,099
29,5600	3,110
29,6000	3,120
29,6400	3,127
29,6800	3,132
29,7200	3,135
29,7600	3,137
29,8000	3,137
29,8400	3,135
29,8800	3,132
