Posizione, Oscillazioni forzate 3.70 V
Tempo ( s )	Posizione ( m )
0,000000	0,0000
1,584664	0,0500
3,171182	0,1000
4,750088	0,1500
6,337504	0,2000
7,935870	0,2500
9,527790	0,3000
11,133306	0,3500
12,728730	0,4000
14,322340	0,4500
15,918262	0,5000
17,501758	0,5500
19,076928	0,6000
20,643482	0,6500
22,225954	0,7000
23,812372	0,7500
25,394440	0,8000
26,976294	0,8500
28,559956	0,9000
30,147590	0,9500
31,727778	1,0000
33,302130	1,0500
34,876092	1,1000
36,458814	1,1500
38,045010	1,2000
39,628016	1,2500
41,202182	1,3000
42,795778	1,3500
44,395296	1,4000
45,993310	1,4500
47,593052	1,5000
49,193118	1,5500
50,796578	1,6000
52,396570	1,6500
53,991810	1,7000
55,578578	1,7500
57,163936	1,8000
58,749502	1,8500
60,346794	1,9000
61,941720	1,9500
63,535232	2,0000
65,116076	2,0500
66,692472	2,1000
68,280302	2,1500
69,860398	2,2000
71,450462	2,2500
73,040796	2,3000
74,625918	2,3500
76,200346	2,4000
77,779196	2,4500
79,336922	2,5000
80,887930	2,5500
82,453162	2,6000
84,017782	2,6500
85,566910	2,7000
87,116936	2,7500
88,664836	2,8000
90,211546	2,8500
91,752972	2,9000
93,288830	2,9500
94,822346	3,0000
96,385184	3,0500
