# Posizione. Oscillazioni forzate 2.00 V
# Tempo ( s )	Posizione ( m )
0.000000	0.0000
3.539948	0.0500
7.108816	0.1000
10.638536	0.1500
14.249614	0.2000
17.799628	0.2500
21.343304	0.3000
24.818440	0.3500
28.394928	0.4000
31.955180	0.4500
35.543592	0.5000
39.143900	0.5500
42.747502	0.6000
46.352954	0.6500
49.960902	0.7000
53.557962	0.7500
57.202844	0.8000
60.768452	0.8500
64.307202	0.9000
67.917198	0.9500
71.521082	1.0000
75.101058	1.0500
78.641510	1.1000
82.214806	1.1500
85.768598	1.2000
89.259694	1.2500
92.755664	1.3000
96.231532	1.3500
99.784252	1.4000
103.351106	1.4500
106.882074	1.5000
110.448364	1.5500
114.026584	1.6000
117.559150	1.6500
121.079892	1.7000
124.669322	1.7500
128.179134	1.8000
