# Posizione. Oscillazioni forzate 1.70 V
# Tempo ( s )	Posizione ( m )
0.000000	0.0000
4.710752	0.0500
9.461022	0.1000
14.148032	0.1500
18.839196	0.2000
23.633178	0.2500
28.482266	0.3000
33.273776	0.3500
37.959442	0.4000
42.627160	0.4500
47.347412	0.5000
52.122860	0.5500
56.914396	0.6000
61.793486	0.6500
66.569300	0.7000
71.414194	0.7500
76.111758	0.8000
80.710786	0.8500
85.525168	0.9000
90.324278	0.9500
95.250622	1.0000
100.098602	1.0500
104.899062	1.1000
109.721504	1.1500
114.636466	1.2000
119.430050	1.2500
124.136212	1.3000
