Posizione angolare, Oscillazioni forzate 2.20 V
Tempo ( s )	Posizione angolare ( rad )
0,0409	0,168
0,0809	0,231
0,1209	0,302
0,1609	0,382
0,2009	0,470
0,2409	0,565
0,2809	0,668
0,3209	0,776
0,3609	0,889
0,4009	1,005
0,4409	1,122
0,4809	1,238
0,5209	1,354
0,5609	1,466
0,6009	1,574
0,6409	1,674
0,6809	1,767
0,7209	1,850
0,7609	1,923
0,8009	1,984
0,8409	2,031
0,8809	2,066
0,9209	2,084
0,9609	2,089
1,0009	2,080
1,0409	2,056
1,0809	2,022
1,1209	1,976
1,1609	1,920
1,2009	1,852
1,2409	1,775
1,2809	1,690
1,3209	1,598
1,3609	1,499
1,4009	1,395
1,4409	1,286
1,4809	1,177
1,5209	1,067
1,5609	0,955
1,6009	0,847
1,6409	0,740
1,6809	0,638
1,7209	0,540
1,7609	0,451
1,8009	0,366
1,8409	0,291
1,8809	0,221
1,9209	0,162
1,9609	0,110
2,0009	0,066
2,0409	0,031
2,0809	0,002
2,1209	-0,019
2,1609	-0,035
2,2009	-0,046
2,2409	-0,052
2,2809	-0,053
2,3209	-0,053
2,3609	-0,053
2,4009	-0,053
2,4409	-0,055
2,4809	-0,057
2,5209	-0,060
2,5609	-0,064
2,6009	-0,071
2,6409	-0,079
2,6809	-0,088
2,7209	-0,097
2,7609	-0,107
2,8009	-0,115
2,8409	-0,121
2,8809	-0,126
2,9209	-0,127
2,9609	-0,124
3,0009	-0,118
3,0409	-0,107
3,0809	-0,090
3,1209	-0,069
3,1609	-0,046
3,2009	-0,016
3,2409	0,019
3,2809	0,061
3,3209	0,108
3,3609	0,165
3,4009	0,229
3,4409	0,303
3,4809	0,385
3,5209	0,476
3,5609	0,572
3,6009	0,675
3,6409	0,784
3,6809	0,895
3,7209	1,008
3,7609	1,123
3,8009	1,236
3,8409	1,348
3,8809	1,456
3,9209	1,560
3,9609	1,656
4,0009	1,745
4,0409	1,824
4,0809	1,893
4,1209	1,949
4,1609	1,993
4,2009	2,023
4,2409	2,040
4,2809	2,042
4,3209	2,031
4,3609	2,009
4,4009	1,976
4,4409	1,934
4,4809	1,882
4,5209	1,822
4,5609	1,751
4,6009	1,676
4,6409	1,591
4,6809	1,503
4,7209	1,409
4,7609	1,312
4,8009	1,211
4,8409	1,111
4,8809	1,008
4,9209	0,908
4,9609	0,807
5,0009	0,712
5,0409	0,617
5,0809	0,529
5,1209	0,445
5,1609	0,368
5,2009	0,297
5,2409	0,232
5,2809	0,174
5,3209	0,124
5,3609	0,080
5,4009	0,042
5,4409	0,011
5,4809	-0,016
5,5209	-0,036
5,5609	-0,053
5,6009	-0,068
5,6409	-0,079
5,6809	-0,086
5,7209	-0,093
5,7609	-0,099
5,8009	-0,104
5,8409	-0,108
5,8809	-0,112
5,9209	-0,116
5,9609	-0,121
6,0009	-0,124
6,0409	-0,127
6,0809	-0,129
6,1209	-0,130
6,1609	-0,129
6,2009	-0,126
6,2409	-0,121
6,2809	-0,113
6,3209	-0,104
6,3609	-0,093
6,4009	-0,079
6,4409	-0,061
6,4809	-0,041
6,5209	-0,014
6,5609	0,017
6,6009	0,057
6,6409	0,102
6,6809	0,157
6,7209	0,220
6,7609	0,294
6,8009	0,375
6,8409	0,468
6,8809	0,567
6,9209	0,675
6,9609	0,789
7,0009	0,906
7,0409	1,027
7,0809	1,150
7,1209	1,272
7,1609	1,393
7,2009	1,510
7,2409	1,621
7,2809	1,726
7,3209	1,821
7,3609	1,905
7,4009	1,978
7,4409	2,037
7,4809	2,081
7,5209	2,110
7,5609	2,122
7,6009	2,119
7,6409	2,100
7,6809	2,069
7,7209	2,029
7,7609	1,978
7,8009	1,915
7,8409	1,841
7,8809	1,758
7,9209	1,663
7,9609	1,563
8,0009	1,455
8,0409	1,341
8,0809	1,224
8,1209	1,104
8,1609	0,985
8,2009	0,867
8,2409	0,749
8,2809	0,638
8,3209	0,529
8,3609	0,429
8,4009	0,336
8,4409	0,253
8,4809	0,178
8,5209	0,112
8,5609	0,057
8,6009	0,009
8,6409	-0,027
8,6809	-0,057
8,7209	-0,077
8,7609	-0,091
8,8009	-0,097
8,8409	-0,099
8,8809	-0,099
8,9209	-0,094
8,9609	-0,090
9,0009	-0,086
9,0409	-0,083
9,0809	-0,083
9,1209	-0,085
9,1609	-0,088
9,2009	-0,093
9,2409	-0,097
9,2809	-0,102
9,3209	-0,105
9,3609	-0,107
9,4009	-0,108
9,4409	-0,107
9,4809	-0,105
9,5209	-0,101
9,5609	-0,094
9,6009	-0,085
9,6409	-0,074
9,6809	-0,063
9,7209	-0,052
9,7609	-0,041
9,8009	-0,028
9,8409	-0,011
9,8809	0,013
9,9209	0,044
9,9609	0,088
10,0009	0,143
10,0409	0,212
10,0809	0,295
10,1209	0,391
10,1609	0,500
10,2009	0,619
10,2409	0,746
10,2809	0,883
10,3209	1,023
10,3609	1,167
10,4009	1,312
10,4409	1,455
10,4809	1,593
10,5209	1,723
10,5609	1,846
10,6009	1,957
10,6409	2,053
10,6809	2,133
10,7209	2,198
10,7609	2,242
10,8009	2,265
10,8409	2,270
10,8809	2,254
10,9209	2,220
10,9609	2,169
11,0009	2,102
11,0409	2,020
11,0809	1,924
11,1209	1,816
11,1609	1,696
11,2009	1,569
11,2409	1,436
11,2809	1,296
11,3209	1,155
11,3609	1,013
11,4009	0,873
11,4409	0,737
11,4809	0,606
11,5209	0,484
11,5609	0,371
11,6009	0,270
11,6409	0,179
11,6809	0,102
11,7209	0,038
11,7609	-0,014
11,8009	-0,053
11,8409	-0,079
11,8809	-0,094
11,9209	-0,097
11,9609	-0,094
12,0009	-0,085
12,0409	-0,072
12,0809	-0,060
12,1209	-0,050
12,1609	-0,044
12,2009	-0,042
12,2409	-0,044
12,2809	-0,047
12,3209	-0,053
12,3609	-0,060
12,4009	-0,068
12,4409	-0,077
12,4809	-0,086
12,5209	-0,096
12,5609	-0,104
12,6009	-0,112
12,6409	-0,118
12,6809	-0,121
12,7209	-0,121
12,7609	-0,118
12,8009	-0,112
12,8409	-0,101
12,8809	-0,085
12,9209	-0,066
12,9609	-0,042
13,0009	-0,014
13,0409	0,022
13,0809	0,064
13,1209	0,115
13,1609	0,174
13,2009	0,243
13,2409	0,320
13,2809	0,405
13,3209	0,500
13,3609	0,600
13,4009	0,707
13,4409	0,817
13,4809	0,931
13,5209	1,048
13,5609	1,164
13,6009	1,280
13,6409	1,393
13,6809	1,503
13,7209	1,608
13,7609	1,706
13,8009	1,795
13,8409	1,876
13,8809	1,945
13,9209	2,000
13,9609	2,044
14,0009	2,072
14,0409	2,088
14,0809	2,086
14,1209	2,072
14,1609	2,045
14,2009	2,006
14,2409	1,956
14,2809	1,893
14,3209	1,819
14,3609	1,736
14,4009	1,645
14,4409	1,544
14,4809	1,439
14,5209	1,329
14,5609	1,214
14,6009	1,098
14,6409	0,982
14,6809	0,866
14,7209	0,751
14,7609	0,639
14,8009	0,534
14,8409	0,434
14,8809	0,341
